output_0,output_1,output_2,output_3,output_4
4.845408,5.001936,5.027028,5.20563,4.804446
1.3266735,1.7317104,2.5314705,1.3462093,2.5727303
3.120548,3.177061,3.244604,3.4750876,3.1597047
6.9958487,7.0945773,7.3299446,7.2252517,6.9520206
2.898597,1.7230365,1.7145698,1.4130538,1.376117
5.8326883,5.866765,6.092695,5.9549384,5.664229
5.0954895,4.9071426,5.079957,5.044382,5.1184464
4.284521,4.060395,4.4505005,4.481479,3.8264554
1.5471174,2.8338342,2.917865,1.6084778,1.5977242
4.9220376,5.23703,5.323061,4.8086014,5.0195456
5.099536,4.9779067,5.1122885,5.1447163,5.2857256
4.3516016,4.5891643,4.0034404,4.3835545,4.5452085
3.161175,3.3868206,3.1297588,3.5022945,3.1540775
4.8370433,4.9002657,4.701765,4.7549047,4.7015724
6.4353423,6.5970626,6.422676,6.494178,6.268339
2.4045415,2.4965851,2.4833875,3.1162515,2.455684
5.0521936,5.1766486,5.310423,5.103322,5.0853662
3.3744347,8.007902,8.412377,8.194782,3.438526
6.3192635,6.0631976,6.218692,7.016121,6.601044
2.4145947,2.3232558,2.4238138,7.590806,2.2072427
6.649086,6.718821,6.6455464,6.884846,7.484296
5.572321,5.2241073,5.3772216,5.5488625,5.523905
6.3159432,6.063039,6.0064597,5.96117,6.245569
5.229155,5.1661263,5.181713,5.107127,5.1303973
6.2229414,6.4938927,6.313795,6.1572495,5.882637
5.1098404,5.134201,5.1053085,5.290887,5.155916
2.1526275,2.0907176,1.9111316,2.1200302,1.8800093
4.5838366,5.5641537,4.8215013,5.0727124,4.833642
5.0847235,4.95942,4.8523884,4.556535,4.7435884
2.8014865,2.6869118,2.7397256,2.8793359,2.6446776
2.4700928,2.4929843,2.4208055,2.5491323,2.3472521
4.392381,4.676499,4.1291075,3.9958432,3.9732823
1.4541274,1.5787381,1.3783467,1.3401328,1.3661486
1.8940034,2.3647435,1.9611353,5.525499,1.9155427
1.860898,1.834595,2.666455,1.9349769,2.8022869
4.859236,4.954007,4.6633425,4.8692436,4.8033
5.118308,5.190513,4.8623075,5.014078,4.9583406
5.1851797,4.878449,5.2768126,5.040034,4.8653564
7.0708876,7.4071283,7.268111,6.9083385,7.179738
2.2943828,1.5665473,1.8192242,1.6973298,1.5858189
6.324627,7.072301,5.810485,6.3128033,5.9507174
2.384462,2.6109776,2.5497699,2.5781748,2.4706943
5.0160522,5.1120224,5.097117,4.866995,4.9697266
6.5425234,6.2701464,6.587882,6.209914,6.369785
6.8774805,6.571808,6.715108,6.699746,6.765683
5.2645483,5.056224,4.8402753,4.8593707,4.9428196
2.2214754,5.779589,5.8720055,1.7867289,2.035476
2.4017432,2.440921,2.4905727,2.5851364,2.5044315
5.189665,5.1164207,4.8291903,5.1283193,4.964986
2.9230654,3.142199,3.018042,2.8709478,3.0375493
6.7190733,6.402954,6.4017587,6.6216183,6.67873
4.7185707,5.1728754,4.598052,4.8483353,5.052995
4.6951375,4.7076445,4.6296873,4.8998666,4.822575
2.4785435,2.6284,2.7456646,2.7634392,2.3935559
6.625377,6.220544,6.86837,6.61021,6.526556
6.014176,6.0708923,6.408869,5.5906568,5.0901465
5.0871997,5.179552,4.896684,5.159672,5.1038055
6.3354096,6.879005,6.710449,6.7700157,6.345028
3.0748549,3.2610455,3.470008,3.2278178,3.247886
5.2586393,5.4373503,5.1713057,5.1859965,5.125622
1.2500991,1.2345556,1.3412206,1.525756,2.005276
1.7456719,1.7014321,1.7977897,1.6635761,1.6464454
6.5880623,7.3913627,7.368323,7.65802,7.9642158
3.3499827,3.2656827,3.3837132,3.5930324,3.3032103
2.9262357,3.403441,2.6306033,2.676626,1.1132034
6.409795,6.620204,6.7879663,6.637453,6.751569
4.1757383,4.7897177,3.619763,5.0597396,5.158337
2.6198921,2.4021246,2.5422618,2.4844022,2.0345082
5.308732,5.2734747,5.323111,5.193923,4.629385
8.065261,7.7495737,8.610636,7.91479,8.214334
4.8961296,5.2025595,5.4879074,5.1973386,4.9728603
2.69856,2.104181,2.8360896,1.5052807,2.762914
6.3871756,6.4668493,6.3352513,6.600456,6.28559
3.336064,3.1888435,3.41168,3.498299,3.3517559
5.3114586,5.643913,5.2719784,5.687903,5.84387
3.114882,3.3465443,3.1692243,3.076109,2.9455237
5.4486637,5.588525,5.4648294,5.5782967,5.3503914
2.204418,2.2455435,2.3708806,2.248152,2.1268253
2.558209,1.904424,1.3614423,1.6450374,2.3700683
3.314215,3.9652042,4.876239,3.9825833,3.389479
8.042251,7.837475,8.039401,8.274096,8.0979395
5.5251584,5.608713,5.662487,5.6430893,5.4135666
6.1390553,5.89748,6.4731054,5.975732,5.993623
6.307416,5.9760103,6.56278,6.3891582,6.219941
1.2032342,1.5184573,1.4120847,1.4806404,2.5975735
