output_0,output_1,output_2,output_3,output_4
3.0292358,2.5024395,2.363879,2.6076605,5.3966727
5.4151063,1.9574138,1.9886128,5.0330005,5.167017
7.9033237,7.800131,8.004267,7.9794946,8.11545
1.799374,5.640105,5.769115,5.55934,5.76528
3.594796,3.2899723,3.5648828,3.2066948,3.1204028
8.193915,8.360142,8.106376,5.148145,5.197708
4.665767,7.6234937,4.612785,5.563994,3.51714
6.9392395,4.2711883,4.859848,6.9192085,4.5028777
4.2585125,5.776386,4.0269475,4.1768737,4.1127114
9.353773,9.456848,9.356974,9.106605,9.374374
1.8658063,1.951216,1.8299463,1.7423105,1.7225443
3.111641,2.9653156,2.9892256,3.1062753,2.849326
1.7432432,1.7145506,1.8705801,1.8003775,1.7303556
1.8288633,1.7840638,3.329735,3.0612159,5.1750164
1.9471831,1.7662401,1.929166,5.6153755,1.8796787
4.09212,4.304033,4.651357,4.5297775,3.4905663
6.690173,6.6438313,6.3508406,6.3227673,6.2764077
3.1108663,3.1792803,3.294011,3.246583,3.2567787
3.2539291,4.0157804,3.7339697,3.8686247,4.091906
5.6102085,1.6590276,2.0591104,5.509377,5.60465
3.6530707,3.643116,3.7732506,3.6319292,3.5596173
3.914101,3.7523642,4.0309143,4.0533643,4.5516014
6.24485,6.966221,6.722692,6.780361,6.0621433
5.6547036,1.932143,1.9633024,1.6636168,1.8698176
6.452301,2.7187595,3.465915,6.5292106,2.4688945
5.1213565,5.0434275,5.3631363,5.2106123,5.0400734
1.6424596,1.4989078,1.5845152,1.6423028,1.6398617
1.1247307,1.519293,1.1918288,1.1267238,1.2939998
6.1920037,2.1075003,2.1986175,2.4732466,2.3608608
2.0125885,2.1675544,3.002917,1.70567,1.7798883
3.9616787,3.7488518,4.049113,3.908026,4.0328565
6.444158,6.0614853,6.7196164,6.462365,6.356355
2.3098009,2.2582214,2.1409755,2.473452,2.4067378
2.0019543,2.1881351,2.3736014,2.0739465,3.7743773
2.726745,2.8589745,2.6033905,2.7042887,2.7787743
8.243082,8.203797,2.8146281,8.4402075,8.289593
3.344024,3.1498127,2.9395037,6.1557326,3.2497437
2.6589458,4.8951426,2.829452,2.482196,4.5548534
